name	path	assignment
haplotype1_from_utig4-452	utig4-1409+,utig4-1410-,utig4-655-,utig4-653+,utig4-47-,utig4-48+,utig4-1218-,utig4-452-,utig4-449-,[N108688N:ambig_bubble],utig4-1300-,[N10613N:ambig_bubble],utig4-1448-,[N1000N:ambig_bubble],utig4-405+,[N100000N:scaffold],utig4-453+,utig4-1215-,utig4-967-,utig4-965+,utig4-968+,utig4-1196+,utig4-1143-,utig4-1140-,utig4-1137-,utig4-1139+	HAPLOTYPE1
haplotype1_from_utig4-608	utig4-606-,utig4-608+,utig4-1102+,utig4-314-,utig4-313+,utig4-160-,utig4-157-,utig4-158+,utig4-1326+,utig4-1327+,utig4-1384-,utig4-1185-,utig4-1183+,utig4-1187+,utig4-1322+,utig4-1265-,utig4-1263-,utig4-1264+,utig4-610-,utig4-609+,utig4-613+,utig4-619+,utig4-543-,utig4-541+,utig4-545+,utig4-917-,utig4-918+,utig4-1002-,utig4-1003+,utig4-1450-,utig4-1050-,utig4-1047-,utig4-1049+,utig4-1180-,utig4-1181+,utig4-1220-,utig4-1221+,utig4-1338-,utig4-971-,utig4-970+,utig4-270-,utig4-268+,utig4-271+,utig4-1021-,utig4-749-,utig4-748-,utig4-459-,utig4-457+,utig4-461+,utig4-1198+,utig4-26-,utig4-25+,utig4-29+,utig4-901+,utig4-867-,utig4-863-,utig4-864+,utig4-1413+,utig4-247-,utig4-244-,utig4-245+,utig4-940+,utig4-941+,utig4-1134-,utig4-170-,utig4-167-,utig4-168+,utig4-1233+,utig4-554-,utig4-552+,utig4-556+,utig4-1069-,utig4-1071+,utig4-1232+,utig4-1176-,utig4-1175+,utig4-1179+,utig4-1205+,utig4-771-,utig4-770-,utig4-236-,utig4-232-,utig4-233+,utig4-1130+,utig4-859-,utig4-858+,utig4-861+,utig4-882-,utig4-884+,utig4-1052-,utig4-1053+,utig4-1229+,utig4-1230+,utig4-1325-,utig4-1154-,utig4-1153+,utig4-934-,utig4-933+,utig4-804-,utig4-803+,utig4-807+,utig4-922+,utig4-924+,utig4-973-,utig4-975+,utig4-1041-,utig4-1042+,utig4-1274+,utig4-986-,utig4-983-,utig4-984+,utig4-999+,utig4-1001+,utig4-1055-,utig4-1057+,utig4-1474+,utig4-778-,utig4-774-,utig4-776+,utig4-1199-,utig4-1201+,utig4-1319-,utig4-1023-,utig4-1022+,utig4-1025+,utig4-1059+,utig4-1060+,utig4-1454-,utig4-880-,utig4-879-,utig4-795-,utig4-791-,utig4-793+,utig4-1012+,utig4-744-,utig4-743+,utig4-746+,utig4-1320+,utig4-1245-,utig4-1244-,utig4-1006-,utig4-1005-,utig4-414-,utig4-410-,utig4-412+,utig4-868-,utig4-869+,utig4-871-,utig4-872+,utig4-1305-,utig4-990-,utig4-988+,utig4-184-,utig4-182+,utig4-186+,utig4-760+,utig4-633-,utig4-632+,utig4-569-,utig4-565-,utig4-567+,utig4-1431-,utig4-911-,utig4-910-,utig4-813-,utig4-812-,utig4-331-,utig4-329+,utig4-333+,utig4-907+,utig4-909+,utig4-1197-,utig4-1067-,utig4-1063-,utig4-1064+,utig4-1195+,utig4-1158-,utig4-1157+,utig4-1160+,utig4-1313-,utig4-1314+,utig4-1337+,utig4-898-,utig4-897+,utig4-424-,utig4-420-,utig4-422+,utig4-1449+,utig4-1377-,utig4-1376-,utig4-949-,utig4-945-,utig4-946+,utig4-1040+,utig4-217-,utig4-216-,utig4-146-,utig4-145+,utig4-149+,utig4-151+,utig4-1189-,utig4-1188+,utig4-1191+,utig4-1306+,utig4-418-,utig4-415-,utig4-417+,utig4-446-,utig4-448+,utig4-1333+,utig4-930-,utig4-928+,utig4-932+,utig4-1075-,utig4-1077+,utig4-1316-,utig4-1318+,utig4-1321-,utig4-731-,utig4-730+,utig4-734+,utig4-916-,utig4-768-,utig4-767+,utig4-755-,utig4-751-,utig4-752+,utig4-1044+,utig4-1045+,utig4-1068+,utig4-938-,utig4-936-,utig4-671-,utig4-667-,utig4-668+,utig4-1164-,utig4-1165+,utig4-1174+,utig4-1074-,utig4-1072+,utig4-617-,utig4-616-,utig4-480-,utig4-479+,utig4-327-,utig4-324-,utig4-325+,utig4-1335-	HAPLOTYPE1
haplotype1_from_utig4-736	utig4-736-,utig4-735+,utig4-561-,utig4-560+,utig4-564+,utig4-1247-,utig4-1092-,utig4-1091+,utig4-1094+,utig4-1131-,utig4-1132+,utig4-1334+,utig4-254-,utig4-253-,utig4-249-,utig4-251+,utig4-1111-,utig4-52-,[N27586N:tangle],utig4-53+,utig4-358+,utig4-191-,utig4-187-,utig4-188+,utig4-1273-,utig4-194-,utig4-192+,utig4-196+,utig4-1329+,utig4-342-,utig4-338-,utig4-340+,utig4-1014+,utig4-1015+,utig4-1307+,utig4-286-,utig4-279-,[N35712N:scaffold],utig4-1396+	HAPLOTYPE1
haplotype1_from_utig4-766	utig4-766+,[N100000N:scaffold],utig4-592+,utig4-593-,[N3428N:scaffold],utig4-571+,utig4-823+,[N48168N:ambig_bubble],utig4-1351-,[N1000N:ambig_bubble],utig4-588+,utig4-591+	HAPLOTYPE1
haplotype1_unused_utig4-1236	utig4-1236+	HAPLOTYPE1
haplotype1_unused_utig4-1298	utig4-1298+	HAPLOTYPE1
haplotype1_unused_utig4-1380	utig4-1380+	HAPLOTYPE1
haplotype1_unused_utig4-1388	utig4-1388+	HAPLOTYPE1
haplotype1_unused_utig4-1389	utig4-1389+	HAPLOTYPE1
haplotype1_unused_utig4-1405	utig4-1405+	HAPLOTYPE1
haplotype1_unused_utig4-317	utig4-317+	HAPLOTYPE1
haplotype1_unused_utig4-318	utig4-318+	HAPLOTYPE1
haplotype1_unused_utig4-336	utig4-336+	HAPLOTYPE1
haplotype1_unused_utig4-472	utig4-472+	HAPLOTYPE1
haplotype1_unused_utig4-50	utig4-50+	HAPLOTYPE1
haplotype1_unused_utig4-51	utig4-51+	HAPLOTYPE1
haplotype1_unused_utig4-602	utig4-602+	HAPLOTYPE1
haplotype1_unused_utig4-797	utig4-797+	HAPLOTYPE1
haplotype1_unused_utig4-798	utig4-798+	HAPLOTYPE1
haplotype1_unused_utig4-818	utig4-818+	HAPLOTYPE1
